#;;;;;;;;;;;;;x
badboy;Бесчестье;;;;;;;;;;;;;;x
EVTNAME60150;Отмена права женщин голосовать;;;;;;;;;;;;;x
EVTDESC60150;С откатом избирательной реформы женщины более не в праве голосовать;;;;;;;;;;;;;x
EVTOPTA60150;Возвращайтесь на кухню, никчемные профурсетки!;;;;;;;;;;;;;x
EVTNAME31102;Исход из Стамбула;;;;;;;;;;;;;x
EVTDESC31102;В связи с потерей приграничных Стамбулу земель, наша столица находится под угрозой. Мы обязаны перенести её в более безопасное место - Анкару;;;;;;;;;;;;;x
EVTOPTA31102;Мы окончательно изгнаны из Европы...;;;;;;;;;;;;;x
OL_REBEL_OCCUPATIONS;Повстанческие осады;;;;;;;;;;;;;x
OL_REBEL_OCCUPATIONS_TOOLTIP;Провинция §Y$PROVINCE$§W оккупируется повстанцами!;;;;;;;;;;;;;x
OL_VIEW_REBEL_OCCUPATIONS;Переключить обзор §Yповстанческих осад§W;X
POP_MIL_CHANGE_REBEL;Население,живущее в провинции §Y$PROV$§W находится под §RRebels§W контролем.\nМы не можем оценить агрессивность в этой провинции.;;;;;;;;;;;;;x
POP_CON_CHANGE_REBEL;Население,живущее в провинции §Y$PROV$§W находится под §RRebels§W контролем.\nМы не можем оценить сознательность в этой провинции.;;;;;;;;;;;;;x
PROJECT_STATE_NAME_DESC;Планируется построить в §Y$PROV$§W.;;;;;;;;;;;;;x
